ARTIKEL;SORTE;AUFTRAG;POSITION;KUNDE;WUNSCHLIEFERTERMIN;LIEFERTERMIN;WUNSCHMENGE
05-070-420-02200-076150G0;K 05;25029211;1;C-120;9/30/25 17:00;9/29/25;7500
15-070-435-01840-076130G0;K 15;25029344;1;C-130;9/30/25 17:00;9/30/25;25000
15-070-435-01800-076130G0;K 15;25029388;1;C-100;9/30/25;9/29/25;25000
05-070-420-00900-076150G0;K 05;25029513;2;C-120;9/30/25;9/29/25;10000
15-070-435-01880-076130G0;K 15;25029401;1;C-110;9/30/25;9/29/25;25000
05-070-420-00800-076150G0;K 05;25029513;1;C-120;9/30/25;9/29/25;15000
15-070-435-01840-076130G0;K 15;25029389;1;C-100;9/30/25;9/30/25;25000
15-070-435-01860-076130G0;K 15;25029390;1;C-100;9/30/25;9/29/25;25000
15-070-435-01860-076130G0;K 15;25029345;1;C-130;9/29/25 17:00;9/26/25;25000
15-070-435-00750-076130G0;K 15;25028575;1;C-100;9/29/25 17:00;9/26/25;12500
15-070-435-01860-076130G0;K 15;25028575;2;C-100;9/29/25 17:00;9/26/25;12500
15-070-435-01190-076130G0;K 15;25029387;2;C-100;9/29/25;9/26/25;6000
15-070-435-01780-076130G0;K 15;25029387;3;C-100;9/29/25;9/26/25;13000
15-070-435-01890-076130G0;K 15;25029336;1;C-120;9/29/25;9/26/25;25000
15-070-435-01170-076130G0;K 15;25029387;1;C-100;9/29/25;9/26/25;6000
15-070-435-01760-076130G0;K 15;25029319;1;C-100;9/29/25;9/26/25;25000
15-070-435-01860-076130G0;K 15;25029329;1;C-110;9/29/25;9/26/25;25000
15-070-435-01780-076130G0;K 15;25029357;1;C-120;9/26/25;9/25/25;10000
15-070-435-01880-076130G0;K 15;25029323;1;C-100;9/26/25;9/25/25;25000
15-070-435-01840-076130G0;K 15;25029321;1;C-100;9/26/25;9/25/25;25000
15-070-435-01800-076130G0;K 15;25029332;1;C-120;9/26/25;9/25/25;25000
15-070-435-01800-076130G0;K 15;25029327;1;C-110;9/26/25;9/25/25;25000
15-070-435-01000-076130G0;K 15;25029353;1;C-100;9/26/25;9/25/25;12500
15-070-435-01840-076130G0;K 15;25029353;2;C-100;9/26/25;9/25/25;12500
15-070-435-01720-076130G0;K 15;25029341;1;C-130;9/25/25 17:00;9/24/25;25000
15-070-435-01800-076130G0;K 15;25029320;1;C-100;9/25/25;9/24/25;25000
15-070-435-01860-076130G0;K 15;25029322;1;C-100;9/25/25;9/24/25;25000
15-070-435-01880-076130G0;K 15;25029335;1;C-120;9/25/25;9/24/25;25000
15-070-435-01860-076130G0;K 15;25029334;1;C-120;9/25/25;9/24/25;25000
15-070-435-01890-076130G0;K 15;25029331;1;C-110;9/24/25 17:00;9/23/25;25000
15-070-435-01840-076130G0;K 15;25029396;1;C-100;9/24/25 17:00;9/23/25;25000
15-070-435-01860-076130G0;K 15;25029507;1;C-100;9/24/25 17:00;;25000
05-070-420-01100-076150G0;K 05;25029038;2;C-120;9/24/25 17:00;9/23/25;12500
05-070-420-01200-076150G0;K 05;25029038;1;C-120;9/24/25 17:00;9/23/25;12500
15-070-435-01880-076130G0;K 15;25029183;1;C-100;9/24/25 17:00;9/23/25;25000
15-070-435-01680-076130G0;K 15;25029340;2;C-130;9/24/25 17:00;9/23/25;12500
15-070-435-01170-076130G0;K 15;25029340;1;C-130;9/24/25 17:00;9/23/25;12500
15-070-435-01840-076130G0;K 15;25028971;1;C-130;9/24/25 17:00;9/24/25;25000
15-070-435-01840-076130G0;K 15;25029333;1;C-120;9/24/25;9/23/25;25000
15-070-435-01840-076130G0;K 15;25028789;1;C-100;9/23/25 17:00;9/22/25;25000
15-070-435-01880-076130G0;K 15;25029116;1;C-120;9/23/25 17:00;9/22/25;25000
15-070-435-01880-076130G0;K 15;25028974;1;C-130;9/23/25 17:00;9/22/25;25000
15-070-435-01860-076130G0;K 15;25028795;1;C-100;9/23/25 17:00;9/22/25;25000
15-070-435-01800-076130G0;K 15;25029342;1;C-130;9/23/25;9/22/25;25000
15-070-435-01760-076130G0;K 15;25029326;2;C-110;9/23/25;9/22/25;17500
15-070-435-01800-076130G0;K 15;25029194;1;C-120;9/22/25 17:00;9/19/25;25000
15-070-435-01880-076130G0;K 15;25029224;1;C-100;9/22/25;9/19/25;25000
15-070-435-01820-076130G0;K 15;25029223;2;C-100;9/22/25;9/19/25;10000
15-070-435-01780-076130G0;K 15;25029223;1;C-100;9/22/25;9/19/25;15000
15-070-435-01860-076130G0;K 15;25029188;1;C-110;9/22/25;9/19/25;25000
15-070-435-01860-076130G0;K 15;25029181;1;C-100;9/22/25;9/19/25;25000
15-070-435-01760-076130G0;K 15;25029200;1;C-130;9/22/25;9/19/25;25000
15-070-435-01840-076130G0;K 15;25029246;1;C-110;9/22/25;9/19/25;25000
15-070-435-01860-076130G0;K 15;25029119;1;C-130;9/19/25 17:00;9/18/25;25000
15-070-435-01840-076130G0;K 15;25028788;1;C-100;9/19/25 17:00;9/18/25;25000
15-070-435-01880-076130G0;K 15;25029189;1;C-110;9/19/25;9/18/25;25000
15-070-435-01720-076130G0;K 15;25029196;1;C-120;9/19/25;9/18/25;12500
15-070-435-01890-076130G0;K 15;25029184;1;C-100;9/19/25;9/18/25;25000
15-070-435-01880-076130G0;K 15;25029204;1;C-130;9/19/25;9/18/25;25000
15-070-435-01840-076130G0;K 15;25029196;2;C-120;9/19/25;9/18/25;12500
15-070-435-01860-076130G0;K 15;25028794;1;C-100;9/18/25 17:00;9/17/25;25000
15-070-435-01860-076130G0;K 15;25029197;1;C-120;9/18/25;9/17/25;25000
15-070-435-01800-076130G0;K 15;25029201;1;C-130;9/18/25;9/17/25;25000
15-070-435-01800-076130G0;K 15;25029179;1;C-100;9/18/25;9/17/25;25000
15-070-435-01760-076130G0;K 15;25029227;1;C-120;9/18/25;9/17/25;12500
05-070-420-01900-076150G0;K 05;25029193;1;C-110;9/18/25;9/17/25;25000
15-070-435-01840-076130G0;K 15;25029202;1;C-130;9/18/25;9/17/25;25000
15-070-435-01840-076130G0;K 15;25028787;1;C-100;9/17/25 17:00;9/15/25;25000
15-070-435-01880-076130G0;K 15;25029203;1;C-130;9/17/25;9/16/25;25000
15-070-435-01860-076130G0;K 15;25029205;1;C-130;9/17/25;9/16/25;25000
05-070-420-01100-076150G0;K 05;25029192;1;C-110;9/17/25;9/16/25;25000
15-070-435-01860-076130G0;K 15;25029180;1;C-100;9/17/25;9/16/25;25000
15-070-435-01880-076130G0;K 15;25029198;1;C-120;9/17/25;9/16/25;25000
15-070-435-01840-076130G0;K 15;25029187;1;C-110;9/17/25;9/16/25;25000
15-070-435-01860-076130G0;K 15;25028793;1;C-100;9/16/25 17:00;9/15/25;25000
15-070-435-01820-076130G0;K 15;25029206;2;C-130;9/16/25;9/15/25;20000
15-070-435-01880-076130G0;K 15;25029182;1;C-100;9/16/25;9/15/25;25000
05-070-420-00900-076150G0;K 05;25029191;1;C-110;9/16/25;9/15/25;25000
15-070-435-01840-076130G0;K 15;25029195;1;C-120;9/16/25;9/15/25;25000
05-070-420-01400-076150G0;K 05;25029315;1;C-120;9/16/25;9/15/25;25000
15-070-435-01820-076130G0;K 15;25029262;3;C-120;9/15/25;9/12/25;10000
15-070-435-01800-076130G0;K 15;25029109;1;C-110;9/15/25;9/15/25;25000
15-070-435-01190-076130G0;K 15;25029124;1;C-130;9/15/25;9/12/25;12500
15-070-435-01800-076130G0;K 15;25029126;1;C-130;9/15/25;9/12/25;25000
15-070-435-01890-076130G0;K 15;25029098;1;C-100;9/15/25;9/12/25;25000
15-070-435-01740-076130G0;K 15;25029124;2;C-130;9/15/25;9/12/25;12500
15-070-435-01860-076130G0;K 15;25029108;1;C-110;9/15/25;9/12/25;25000
15-070-435-01800-076130G0;K 15;25029092;1;C-100;9/15/25;9/12/25;25000
15-070-435-01880-076130G0;K 15;25029127;1;C-130;9/15/25;9/12/25;25000
15-070-435-01890-076130G0;K 15;25028978;1;C-130;9/12/25 17:00;9/11/25;25000
15-070-435-01880-076130G0;K 15;25028963;1;C-110;9/12/25 17:00;9/11/25;25000
15-070-435-01900-076130G0;K 15;25029117;1;C-130;9/12/25;9/11/25;12500
15-070-435-01860-076130G0;K 15;25029123;1;C-130;9/12/25;9/11/25;25000
15-070-435-01840-076130G0;K 15;25029095;1;C-100;9/12/25;9/11/25;25000
15-070-435-01880-076130G0;K 15;25028975;1;C-130;9/11/25 17:00;9/10/25;25000
05-070-420-00900-076150G0;K 05;25029105;1;C-110;9/11/25;9/10/25;25000
15-070-435-01860-076130G0;K 15;25029115;1;C-120;9/11/25;9/10/25;25000
15-070-435-01800-076130G0;K 15;25029120;1;C-130;9/11/25;9/11/25;25000
05-070-420-01100-076150G0;K 05;25029107;1;C-110;9/11/25;9/10/25;25000
15-070-435-01860-076130G0;K 15;25029096;1;C-100;9/11/25;9/10/25;25000
15-070-435-01840-076130G0;K 15;25029121;1;C-130;9/11/25;9/10/25;25000
15-070-435-01880-076130G0;K 15;25028813;1;C-120;9/10/25 17:00;9/9/25;25000
15-070-435-01880-076130G0;K 15;25029097;1;C-100;9/10/25;9/9/25;25000
15-070-435-01880-076130G0;K 15;25029103;1;C-110;9/10/25;9/9/25;25000
15-070-435-01720-076130G0;K 15;25029104;1;C-110;9/10/25;9/9/25;10000
15-070-435-01900-076130G0;K 15;25029099;1;C-100;9/10/25;9/9/25;25000
15-070-435-01840-076130G0;K 15;25029094;1;C-100;9/10/25;9/9/25;25000
15-070-435-01800-076130G0;K 15;25029112;1;C-120;9/10/25;9/9/25;25000
15-070-435-01860-076130G0;K 15;25028754;1;C-110;9/9/25 17:00;9/8/25;25000
15-070-435-01840-076130G0;K 15;25028786;1;C-100;9/9/25 17:00;9/8/25;25000
15-070-435-01860-076130G0;K 15;25028792;1;C-100;9/9/25 17:00;9/8/25;25000
15-070-435-01760-076130G0;K 15;25029118;1;C-130;9/9/25;9/8/25;25000
15-070-435-01840-076130G0;K 15;25029113;1;C-120;9/9/25;9/8/25;25000
15-070-435-01840-076130G0;K 15;25029102;1;C-110;9/9/25;9/8/25;25000
05-070-420-00800-076150G0;K 05;25029249;1;C-120;9/9/25;9/8/25;25000
05-070-420-00800-076150G0;K 05;25029158;1;C-120;9/8/25;9/5/25;25000
15-070-435-01800-076130G0;K 15;25028962;1;C-110;9/8/25;9/5/25;25000
15-070-435-01880-076130G0;K 15;25028966;1;C-120;9/8/25;9/5/25;25000
15-070-435-01800-076130G0;K 15;25028948;1;C-100;9/8/25;9/5/25;25000
15-070-435-01800-076130G0;K 15;25028970;1;C-130;9/8/25;9/5/25;25000
05-070-420-01900-076150G0;K 05;25029074;1;C-110;9/8/25;9/5/25;25000
15-070-435-01170-076130G0;K 15;25029044;3;C-130;9/8/25;9/5/25;12000
15-070-435-01880-076130G0;K 15;25028977;1;C-130;9/8/25;9/5/25;25000
15-070-435-01840-076130G0;K 15;25028951;1;C-100;9/8/25;9/5/25;25000
05-070-420-00850-076150G0;K 05;25028831;1;C-120;9/5/25 17:00;9/4/25;12500
05-070-420-03500-076150G0;K 05;25028832;2;C-120;9/5/25 17:00;9/4/25;7500
05-070-420-00900-076150G0;K 05;25028832;1;C-120;9/5/25 17:00;9/4/25;17500
05-070-420-01100-076150G0;K 05;25028831;2;C-120;9/5/25 17:00;9/4/25;12500
15-070-435-01890-076130G0;K 15;25028967;1;C-120;9/5/25;9/4/25;25000
15-070-435-01860-076130G0;K 15;25028973;1;C-130;9/5/25;9/4/25;25000
15-070-435-01900-076130G0;K 15;25029005;1;C-100;9/5/25;9/4/25;25000
15-070-435-01880-076130G0;K 15;25028964;1;C-110;9/5/25;9/4/25;25000
15-070-435-01890-076130G0;K 15;25028957;1;C-100;9/5/25;9/4/25;25000
15-070-435-01860-076130G0;K 15;25028954;1;C-100;9/5/25;9/4/25;25000
15-070-435-01880-076130G0;K 15;25028577;2;C-120;9/4/25 17:00;9/3/25;19000
15-070-435-01700-076130G0;K 15;25028577;1;C-120;9/4/25 17:00;9/3/25;6000
15-070-435-01800-076130G0;K 15;25028769;1;C-120;9/4/25 17:00;9/3/25;25000
15-070-435-01860-076130G0;K 15;25028953;1;C-100;9/4/25;9/3/25;25000
15-070-435-01880-076130G0;K 15;25028976;1;C-130;9/4/25;9/3/25;25000
15-070-435-01760-076130G0;K 15;25028961;1;C-110;9/4/25;9/3/25;25000
15-070-435-01880-076130G0;K 15;25028956;1;C-100;9/4/25;9/3/25;25000
15-070-435-01840-076130G0;K 15;25028950;1;C-100;9/4/25;9/3/25;25000
15-070-435-01880-076130G0;K 15;25028818;3;C-100;9/3/25 17:00;9/2/25;10000
15-070-435-12800-076130G0;K 15;25028818;2;C-100;9/3/25 17:00;9/2/25;7500
15-070-435-10500-076130G0;K 15;25028818;1;C-100;9/3/25 17:00;9/2/25;7500
15-070-435-01860-076130G0;K 15;25028765;1;C-120;9/3/25 17:00;9/2/25;25000
15-070-435-01800-076130G0;K 15;25028947;1;C-100;9/3/25;9/2/25;25000
05-070-420-01100-076150G0;K 05;25029073;2;C-110;9/3/25;9/2/25;12500
05-070-420-00900-076150G0;K 05;25029073;1;C-110;9/3/25;9/2/25;12500
15-070-435-01860-076130G0;K 15;25028972;1;C-130;9/3/25;9/3/25;25000
15-070-435-01860-076130G0;K 15;25028791;1;C-100;9/2/25 17:00;9/1/25;25000
15-070-435-01840-076130G0;K 15;25028758;1;C-110;9/2/25 17:00;9/1/25;25000
15-070-435-01860-076130G0;K 15;25028781;1;C-130;9/2/25 17:00;9/1/25;25000
15-070-435-01840-076130G0;K 15;25028785;1;C-100;9/2/25 17:00;9/1/25;25000
15-070-435-01800-076130G0;K 15;25028969;1;C-130;9/2/25;9/2/25;25000
15-070-435-01840-076130G0;K 15;25028949;1;C-100;9/2/25;9/1/25;25000
15-070-435-01840-076130G0;K 15;25028965;1;C-120;9/2/25;9/1/25;25000
15-070-435-01880-076130G0;K 15;25028955;1;C-100;9/2/25;9/1/25;25000
15-070-435-01860-076130G0;K 15;25028952;1;C-100;9/2/25;9/1/25;25000
15-070-435-01720-076130G0;K 15;25028780;1;C-130;9/1/25 17:00;8/29/25;25000
05-070-420-01100-076150G0;K 05;25028830;2;C-120;9/1/25 17:00;8/29/25;17500
05-070-420-00500-076150G0;K 05;25028830;1;C-120;9/1/25 17:00;8/29/25;7500
05-070-420-01600-076150G0;K 05;25028833;2;C-120;9/1/25 17:00;8/29/25;12500
05-070-420-01100-076150G0;K 05;25028833;1;C-120;9/1/25 17:00;8/29/25;12500
15-070-435-01840-076130G0;K 15;25028866;1;C-130;9/1/25;9/1/25;25000
15-070-435-01890-076130G0;K 15;25028850;1;C-110;9/1/25;8/29/25;25000
15-070-435-01760-076130G0;K 15;25028856;1;C-120;9/1/25;8/29/25;25000
15-070-435-01890-076130G0;K 15;25028845;1;C-100;9/1/25;8/29/25;25000
15-070-435-01860-076130G0;K 15;25028844;1;C-100;9/1/25;8/29/25;25000
15-070-435-01800-076130G0;K 15;25028907;1;C-100;9/1/25;8/29/25;25000
15-070-435-01840-076130G0;K 15;25028843;1;C-100;9/1/25;8/29/25;25000
15-070-435-01880-076130G0;K 15;25028865;1;C-130;8/29/25;8/28/25;25000
15-070-435-01860-076130G0;K 15;25028842;1;C-100;8/29/25;8/28/25;25000
15-070-435-01800-076130G0;K 15;25028863;1;C-130;8/29/25;8/28/25;25000
15-070-435-01880-076130G0;K 15;25028906;1;C-100;8/29/25;8/29/25;25000
15-070-435-01880-076130G0;K 15;25028849;1;C-110;8/29/25;8/28/25;25000
15-070-435-01840-076130G0;K 15;25028855;1;C-120;8/29/25;8/28/25;25000
15-070-435-01860-076130G0;K 15;25028864;1;C-130;8/29/25;8/28/25;25000
15-070-435-00750-076130G0;K 15;25028332;1;C-100;8/28/25 17:00;8/27/25;12500
15-070-435-01860-076130G0;K 15;25028332;2;C-100;8/28/25 17:00;8/27/25;12500
15-070-435-01000-076130G0;K 15;25028862;1;C-130;8/28/25;8/27/25;7500
15-070-435-01840-076130G0;K 15;25028848;1;C-110;8/28/25;8/27/25;25000
05-070-420-00800-076150G0;K 05;25028908;1;C-110;8/28/25;8/27/25;25000
15-070-435-01780-076130G0;K 15;25028909;1;C-130;8/28/25;8/27/25;10000
15-070-435-01880-076130G0;K 15;25028909;2;C-130;8/28/25;8/27/25;15000
15-070-435-01880-076130G0;K 15;25028840;1;C-100;8/28/25;8/27/25;25000
15-070-435-01840-076130G0;K 15;25028839;1;C-100;8/28/25;8/27/25;25000
15-070-435-01860-076130G0;K 15;25028854;1;C-120;8/28/25;8/27/25;25000
15-070-435-01760-076130G0;K 15;25028836;1;C-100;8/27/25;8/26/25;25000
15-070-435-01800-076130G0;K 15;25028837;1;C-100;8/27/25;8/26/25;25000
05-070-420-00600-076150G0;K 05;25028937;1;C-120;8/27/25;8/26/25;12500
05-070-420-00800-076150G0;K 05;25028937;2;C-120;8/27/25;8/26/25;12500
05-070-420-00800-076150G0;K 05;25028938;1;C-120;8/27/25;8/26/25;10000
05-070-420-01400-076150G0;K 05;25028938;2;C-120;8/27/25;8/26/25;15000
15-070-435-01860-076130G0;K 15;25028847;1;C-110;8/27/25;8/26/25;25000
15-070-435-01900-076130G0;K 15;25028871;2;C-100;8/27/25;8/27/25;12500
05-070-420-01900-076150G0;K 05;25029042;1;C-120;8/27/25;8/26/25;25000
15-070-435-01860-076130G0;K 15;25028838;1;C-100;8/27/25;8/26/25;25000
15-070-435-01860-076130G0;K 15;25028859;1;C-130;8/27/25;8/26/25;25000
15-070-435-01880-076130G0;K 15;25028860;1;C-130;8/27/25;8/26/25;25000
15-070-435-01000-076130G0;K 15;25028871;1;C-100;8/27/25;8/27/25;12500
15-070-435-01840-076130G0;K 15;25028834;1;C-100;8/26/25;8/25/25;25000
15-070-435-01860-076130G0;K 15;25028835;1;C-100;8/26/25;8/25/25;25000
15-070-435-01880-076130G0;K 15;25028858;1;C-130;8/26/25;8/25/25;25000
05-070-420-00700-076150G0;K 05;25028982;1;C-110;8/26/25;8/26/25;12500
15-070-435-01800-076130G0;K 15;25028857;1;C-130;8/26/25;8/26/25;25000
05-070-420-00600-076150G0;K 05;25028981;1;C-110;8/26/25;8/25/25;15000
15-070-435-01880-076130G0;K 15;25028846;1;C-110;8/25/25 17:00;8/22/25;17000
15-070-435-01860-076130G0;K 15;25028770;1;C-120;8/25/25;8/22/25;25000
15-070-435-01840-076130G0;K 15;25028812;1;C-130;8/25/25;8/22/25;25000
15-070-435-01800-076130G0;K 15;25028747;1;C-100;8/25/25;8/22/25;25000
15-070-435-01860-076130G0;K 15;25028748;1;C-100;8/25/25;8/22/25;25000
15-070-435-01890-076130G0;K 15;25028749;1;C-100;8/25/25;8/22/25;25000
15-070-435-01800-076130G0;K 15;25028760;1;C-110;8/25/25;8/22/25;25000
15-070-435-01880-076130G0;K 15;25028782;1;C-130;8/25/25;8/25/25;25000
15-070-435-01820-076130G0;K 15;25028807;1;C-130;8/22/25;8/21/25;15000
15-070-435-01900-076130G0;K 15;25028807;2;C-130;8/22/25;8/21/25;10000
15-070-435-01840-076130G0;K 15;25028768;1;C-120;8/22/25;8/21/25;25000
15-070-435-01880-076130G0;K 15;25028746;1;C-100;8/22/25;8/21/25;25000
15-070-435-01190-076130G0;K 15;25028778;2;C-130;8/22/25;8/21/25;12500
15-070-435-01880-076130G0;K 15;25028779;1;C-130;8/22/25;8/21/25;25000
15-070-435-01840-076130G0;K 15;25028745;1;C-100;8/22/25;8/21/25;25000
15-070-435-01170-076130G0;K 15;25028778;1;C-130;8/22/25;8/21/25;12500
05-070-420-01100-076150G0;K 05;25028359;1;C-120;8/21/25 17:00;8/20/25;15000
05-070-420-02900-076150G0;K 05;25028359;2;C-120;8/21/25 17:00;8/20/25;10000
15-070-435-01860-076130G0;K 15;25028744;1;C-100;8/21/25;8/21/25;25000
15-070-435-01740-076130G0;K 15;25028755;2;C-110;8/21/25;8/20/25;7500
15-070-435-01880-076130G0;K 15;25028767;1;C-120;8/21/25;8/20/25;25000
15-070-435-01800-076130G0;K 15;25028775;1;C-130;8/21/25;8/20/25;25000
15-070-435-01860-076130G0;K 15;25028776;1;C-130;8/21/25;8/21/25;25000
15-070-435-01740-076130G0;K 15;25028743;2;C-100;8/21/25;8/20/25;12500
15-070-435-01720-076130G0;K 15;25028743;1;C-100;8/21/25;8/20/25;12500
15-070-435-01890-076130G0;K 15;25028755;3;C-110;8/21/25;8/20/25;7500
15-070-435-01860-076130G0;K 15;25028790;1;C-100;8/20/25 17:00;8/19/25;25000
15-070-435-01840-076130G0;K 15;25028523;1;C-110;8/20/25 17:00;8/19/25;25000
15-070-435-01840-076130G0;K 15;25028784;1;C-100;8/20/25 17:00;8/20/25;25000
05-070-420-00600-076150G0;K 05;25028852;1;C-120;8/20/25;8/19/25;10000
05-070-420-01100-076150G0;K 05;25028852;2;C-120;8/20/25;8/19/25;15000
15-070-435-01800-076130G0;K 15;25028740;1;C-100;8/20/25;8/19/25;25000
15-070-435-01840-076130G0;K 15;25028741;1;C-100;8/20/25;8/19/25;25000
15-070-435-01880-076130G0;K 15;25028774;1;C-130;8/20/25;8/19/25;25000
15-070-435-01840-076130G0;K 15;25028773;1;C-130;8/20/25;8/20/25;25000
15-070-435-01880-076130G0;K 15;25028753;1;C-110;8/20/25;8/19/25;25000
05-070-420-00850-076150G0;K 05;25027978;1;C-120;8/19/25 17:00;8/18/25;15000
15-070-435-01800-076130G0;K 15;25028521;1;C-110;8/19/25 17:00;8/18/25;25000
05-070-420-01100-076150G0;K 05;25027978;2;C-120;8/19/25 17:00;8/18/25;10000
15-070-435-01840-076130G0;K 15;25028736;1;C-100;8/19/25;8/18/25;25000
15-070-435-01860-076130G0;K 15;25028737;1;C-100;8/19/25;8/18/25;25000
15-070-435-01880-076130G0;K 15;25028738;1;C-100;8/19/25;8/18/25;25000
15-070-435-01860-076130G0;K 15;25028771;1;C-130;8/19/25;8/18/25;25000
15-070-435-01760-076130G0;K 15;25028762;3;C-120;8/19/25;8/18/25;10000
15-070-435-01720-076130G0;K 15;25028762;2;C-120;8/19/25;8/18/25;10000
15-070-435-01880-076130G0;K 15;25028763;1;C-120;8/19/25;8/18/25;25000
15-070-435-01840-076130G0;K 15;25028806;1;C-110;8/18/25;8/15/25;25000
15-070-435-01890-076130G0;K 15;25028610;1;C-100;8/18/25;8/15/25;25000
15-070-435-01760-076130G0;K 15;25028619;1;C-110;8/18/25;8/14/25;25000
15-070-435-01880-076130G0;K 15;25028609;1;C-100;8/18/25;8/15/25;25000
15-070-435-01800-076130G0;K 15;25028634;1;C-130;8/18/25;8/15/25;25000
15-070-435-01800-076130G0;K 15;25028651;1;C-120;8/18/25;8/15/25;25000
15-070-435-01880-076130G0;K 15;25028653;1;C-130;8/18/25;8/18/25;25000
15-070-435-01890-076130G0;K 15;25028630;1;C-120;8/18/25;8/15/25;25000
15-070-435-01800-076130G0;K 15;25028649;1;C-100;8/18/25;8/15/25;25000
15-070-435-01890-076130G0;K 15;25028640;1;C-130;8/15/25;8/14/25;25000
15-070-435-01760-076130G0;K 15;25028652;1;C-130;8/15/25;8/14/25;25000
15-070-435-01720-076130G0;K 15;25028631;2;C-130;8/15/25;8/14/25;7500
15-070-435-01880-076130G0;K 15;25028629;1;C-120;8/15/25;8/14/25;25000
15-070-435-01840-076130G0;K 15;25028625;1;C-120;8/15/25;8/14/25;25000
15-070-435-01880-076130G0;K 15;25028388;1;C-110;8/14/25 17:00;8/13/25;25000
15-070-435-01880-076130G0;K 15;25028639;1;C-130;8/14/25;8/14/25;25000
15-070-435-01900-076130G0;K 15;25028611;1;C-100;8/14/25;8/14/25;25000
15-070-435-01860-076130G0;K 15;25028607;1;C-100;8/14/25;8/13/25;25000
15-070-435-01860-076130G0;K 15;25028626;1;C-120;8/14/25;8/13/25;25000
15-070-435-01840-076130G0;K 15;25028635;1;C-130;8/14/25;8/13/25;25000
15-070-435-01840-076130G0;K 15;25028605;1;C-100;8/14/25;8/13/25;25000
15-070-435-01840-076130G0;K 15;25028531;1;C-120;8/13/25 17:00;8/12/25;25000
15-070-435-01800-076130G0;K 15;25028509;1;C-100;8/13/25 17:00;8/12/25;25000
15-070-435-01800-076130G0;K 15;25028540;1;C-130;8/13/25 17:00;8/12/25;25000
05-070-420-01900-076150G0;K 05;25028750;1;C-110;8/13/25;8/12/25;25000
15-070-435-01880-076130G0;K 15;25028608;1;C-100;8/13/25;8/12/25;25000
05-070-420-01100-076150G0;K 05;25028751;2;C-110;8/13/25;8/12/25;17500
15-070-435-01880-076130G0;K 15;25028638;1;C-130;8/13/25;8/13/25;25000
15-070-435-01860-076130G0;K 15;25028636;1;C-130;8/13/25;8/12/25;25000
15-070-435-01860-076130G0;K 15;25028620;1;C-110;8/13/25;8/12/25;25000
15-070-435-00720-076130G0;K 15;25028026;1;C-100;8/12/25 17:00;8/11/25;7500
15-070-435-01840-076130G0;K 15;25028026;2;C-100;8/12/25 17:00;8/11/25;17500
15-070-435-13500-076130G0;K 15;25028429;1;C-100;8/12/25 17:00;8/11/25;15000
15-070-435-01860-076130G0;K 15;25028429;2;C-100;8/12/25 17:00;8/11/25;10000
05-070-420-01100-076150G0;K 05;25028463;1;C-120;8/12/25 17:00;8/11/25;10000
05-070-420-01200-076150G0;K 05;25028463;2;C-120;8/12/25 17:00;8/11/25;10000
05-070-420-03500-076150G0;K 05;25028463;3;C-120;8/12/25 17:00;8/11/25;5000
15-070-435-01880-076130G0;K 15;25028525;1;C-110;8/12/25 17:00;8/11/25;25000
15-070-435-01880-076130G0;K 15;25028406;1;C-130;8/12/25 17:00;8/11/25;25000
15-070-435-01860-076130G0;K 15;25028424;1;C-130;8/12/25 17:00;8/11/25;25000
15-070-435-01820-076130G0;K 15;25028637;1;C-130;8/12/25;8/11/25;12500
15-070-435-01860-076130G0;K 15;25028637;2;C-130;8/12/25;8/11/25;12500
15-070-435-01800-076130G0;K 15;25028621;3;C-110;8/12/25;8/11/25;10000
15-070-435-01680-076130G0;K 15;25028624;1;C-120;8/12/25;8/11/25;7500
05-070-420-01100-076150G0;K 05;25028335;2;C-120;8/12/25;8/11/25;12500
15-070-435-01800-076130G0;K 15;25028624;3;C-120;8/12/25;8/11/25;10000
15-070-435-01860-076130G0;K 15;25028606;1;C-100;8/12/25;8/12/25;25000
15-070-435-01880-076130G0;K 15;25028628;1;C-120;8/12/25;8/11/25;25000
05-070-420-01000-076150G0;K 05;25028335;1;C-120;8/12/25;8/11/25;12500
15-070-435-01740-076130G0;K 15;25028624;2;C-120;8/12/25;8/11/25;7500
15-070-435-01800-076130G0;K 15;25028400;1;C-130;8/11/25 17:00;8/7/25;25000
05-070-420-00900-076150G0;K 05;25028713;2;C-110;8/11/25;8/8/25;15000
15-070-435-01890-076130G0;K 15;25028519;1;C-100;8/11/25;8/8/25;25000
15-070-435-01880-076130G0;K 15;25028537;1;C-130;8/11/25;8/11/25;25000
15-070-435-01860-076130G0;K 15;25028516;1;C-100;8/11/25;8/8/25;25000
15-070-435-01880-076130G0;K 15;25028518;1;C-100;8/11/25;8/8/25;25000
15-070-435-01840-076130G0;K 15;25028539;1;C-100;8/11/25;8/8/25;25000
15-070-435-01840-076130G0;K 15;25028532;1;C-120;8/11/25;8/8/25;25000
15-070-435-01700-076130G0;K 15;25026600;1;C-130;8/8/25 17:00;8/7/25;12500
15-070-435-01880-076130G0;K 15;25026600;2;C-130;8/8/25 17:00;8/7/25;12500
15-070-435-01720-076130G0;K 15;25028529;1;C-120;8/8/25;8/7/25;7500
15-070-435-01760-076130G0;K 15;25028529;2;C-120;8/8/25;8/7/25;17500
15-070-435-01860-076130G0;K 15;25028535;1;C-130;8/8/25;8/7/25;25000
